store_id,product_id,category,region,price,avg_daily_demand,demand_std_dev,lead_time_days,safety_stock,reorder_point,current_stock,status,capital_tied_up,at_risk_revenue,as_of_date
S001,P0001,Electronics,West,64.4,22.4,10.6,14,65.46,379.06,470,Healthy,0.0,0.0,2025-06-29
S001,P0002,Apparel,West,24.05,3.91,1.04,10,5.42,44.54,132,Overstock,1032.42,0.0,2025-06-29
S001,P0003,Apparel,West,138.43,11.98,5.17,10,26.98,146.81,179,Healthy,0.0,0.0,2025-06-29
S001,P0004,Apparel,West,90.83,5.16,1.93,10,10.05,61.6,135,Overstock,1070.98,0.0,2025-06-29
S001,P0005,Personal Care,West,28.8,25.38,11.36,5,41.91,168.8,410,Overstock,2085.36,0.0,2025-06-29
S001,P0006,Home & Kitchen,West,101.56,17.56,8.69,7,37.92,160.81,564,Overstock,24616.6,0.0,2025-06-29
S001,P0007,Apparel,West,11.71,4.78,8.33,10,43.47,91.25,0,Stockout Risk,0.0,559.48,2025-06-29
S001,P0008,Personal Care,West,182.32,3.83,0.87,5,3.2,22.36,107,Overstock,11354.2,0.0,2025-06-29
S001,P0009,Electronics,West,55.46,9.78,2.81,14,17.33,154.3,328,Overstock,1076.14,0.0,2025-06-29
S001,P0010,Home & Kitchen,West,134.19,4.72,8.79,7,38.37,71.42,0,Stockout Risk,0.0,4435.73,2025-06-29
S001,P0011,Electronics,West,65.78,21.14,10.36,14,63.99,360.01,469,Healthy,0.0,0.0,2025-06-29
S001,P0012,Home & Kitchen,West,106.41,7.51,3.74,7,16.34,68.88,986,Overstock,90262.01,0.0,2025-06-29
S001,P0013,Personal Care,West,111.61,24.0,4.85,5,17.89,137.89,790,Overstock,57391.19,0.0,2025-06-29
S001,P0014,Grocery,West,41.05,6.44,11.55,3,33.0,52.32,0,Stockout Risk,0.0,792.95,2025-06-29
S001,P0015,Home & Kitchen,West,194.07,5.16,1.63,7,7.13,43.26,154,Overstock,13096.22,0.0,2025-06-29
S001,P0016,Electronics,West,156.15,19.93,5.31,14,32.76,311.83,610,Healthy,0.0,0.0,2025-06-29
S001,P0017,Personal Care,West,188.2,20.83,4.67,5,17.24,121.41,695,Overstock,85100.83,0.0,2025-06-29
S001,P0018,Home & Kitchen,West,179.49,15.9,4.85,7,21.16,132.46,538,Overstock,49015.85,0.0,2025-06-29
S001,P0019,Grocery,West,121.59,22.48,11.24,3,32.13,99.58,455,Overstock,31107.29,0.0,2025-06-29
