date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,price,discount
2025-01-01,S001,P0001,Electronics,West,450,23,237,64.4,0
2025-01-02,S001,P0001,Electronics,West,437,13,0,64.4,0
2025-01-03,S001,P0001,Electronics,West,398,39,0,64.4,0
2025-01-04,S001,P0001,Electronics,West,368,30,0,64.4,0
2025-01-05,S001,P0001,Electronics,West,352,16,0,64.4,0
2025-01-06,S001,P0001,Electronics,West,324,28,0,64.4,0
2025-01-07,S001,P0001,Electronics,West,295,29,0,64.4,0
2025-01-08,S001,P0001,Electronics,West,271,24,0,64.4,0
2025-01-09,S001,P0001,Electronics,West,254,17,0,64.4,0
2025-01-10,S001,P0001,Electronics,West,242,12,0,64.4,0
2025-01-11,S001,P0001,Electronics,West,454,25,237,64.4,5
2025-01-12,S001,P0001,Electronics,West,425,29,0,64.4,0
2025-01-13,S001,P0001,Electronics,West,405,20,0,64.4,0
2025-01-14,S001,P0001,Electronics,West,371,34,0,64.4,0
2025-01-15,S001,P0001,Electronics,West,345,26,0,64.4,0
2025-01-16,S001,P0001,Electronics,West,334,11,0,64.4,0
2025-01-17,S001,P0001,Electronics,West,325,9,0,64.4,10
2025-01-18,S001,P0001,Electronics,West,294,31,0,64.4,15
2025-01-19,S001,P0001,Electronics,West,271,23,0,64.4,0
2025-01-20,S001,P0001,Electronics,West,244,27,0,64.4,10
2025-01-21,S001,P0001,Electronics,West,456,25,237,64.4,15
2025-01-22,S001,P0001,Electronics,West,437,19,0,64.4,5
2025-01-23,S001,P0001,Electronics,West,426,11,0,64.4,5
2025-01-24,S001,P0001,Electronics,West,422,4,0,64.4,0
2025-01-25,S001,P0001,Electronics,West,394,28,0,64.4,10
2025-01-26,S001,P0001,Electronics,West,381,13,0,64.4,0
2025-01-27,S001,P0001,Electronics,West,370,11,0,64.4,0
2025-01-28,S001,P0001,Electronics,West,349,21,0,64.4,15
2025-01-29,S001,P0001,Electronics,West,329,20,0,64.4,5
